Ticker,Security Name,Sector,Industry,Price,Weight,Return,Contribution
MQG,Macquarie Group Limited,Financials,Capital Markets,168.74,0.32%,-0.09%,-0.03
SAN,Sanofi,Health Care,Pharmaceuticals,85.34,0.31%,1.54%,0.54
LSEG,London Stock Exchange Group plc,Financials,Capital Markets,86.82,0.30%,7.81%,2.55
PRU,Prudential plc,Financials,Insurance,9.19,0.30%,-2.30%,-0.83
5802,Sumitomo Electric Industries Ltd.,Consumer Discretionary,Automobile Components,1809.50,0.30%,15.50%,4.61
4307,Nomura Research Institute Ltd.,Information Technology,IT Services,4238.00,0.29%,28.40%,7.42
5713,Sumitomo Metal Mining Co. Ltd.,Materials,Metals and Mining,4420.00,0.29%,1.22%,0.40
9064,Yamato Holdings Co. Ltd.,Industrials,Air Freight and Logistics,2622.00,0.28%,15.42%,4.41
BBVA,Banco Bilbao Vizcaya Argentaria S.A.,Financials,Banks,8.30,0.28%,60.84%,12.44
4151,Kyowa Kirin Co. Ltd.,Health Care,Pharmaceuticals,2463.50,0.28%,-24.27%,-10.49
4507,Shionogi & Co. Ltd.,Health Care,Pharmaceuticals,6975.00,0.28%,-0.40%,-0.13
669,Techtronic Industries Company Limited,Industrials,Machinery,81.75,0.27%,-7.51%,-2.57
STO,Santos Limited,Energy,Oil Gas and Consumable Fuels,7.07,0.27%,-0.51%,-0.16
AD,Koninklijke Ahold Delhaize N.V.,Consumer Staples,Consumer Staples Distribution and Retail,26.54,0.27%,-1.38%,-0.44
ADS,adidas AG,Consumer Discretionary,Textiles Apparel and Luxury Goods,185.14,0.27%,49.57%,10.32
6098,Recruit Holdings Co. Ltd.,Industrials,Professional Services,5230.00,0.26%,18.70%,4.80
QBE,QBE Insurance Group Limited,Financials,Insurance,14.88,0.26%,21.04%,5.27
SAND,Sandvik AB (publ),Industrials,Machinery,203.10,0.26%,9.45%,2.59
6504,Fuji Electric Co. Ltd.,Industrials,Electrical Equipment,6100.00,0.26%,5.63%,1.59
3382,Seven & i Holdings Co. Ltd.,Consumer Staples,Consumer Staples Distribution and Retail,5667.00,0.25%,1.56%,0.46
P911,Dr. Ing. h.c. F. Porsche AG,Consumer Discretionary,Automobiles,89.72,0.24%,-16.84%,-5.78
4911,Shiseido Company Limited,Consumer Staples,Personal Care Products,4340.00,0.24%,-23.83%,-8.79
U11,United Overseas Bank Limited,Financials,Banks,27.15,0.23%,-4.48%,-1.26
NAB,National Australia Bank Limited,Financials,Banks,27.95,0.22%,-4.14%,-1.10
9766,Konami Group Corporation,Communication Services,Entertainment,7296.00,0.22%,12.87%,2.89
RI,Pernod Ricard SA,Consumer Staples,Beverages,165.95,0.22%,-10.09%,-2.85
KER,Kering SA,Consumer Discretionary,Textiles Apparel and Luxury Goods,399.45,0.22%,-25.51%,-8.58
SAN,Banco Santander S.A.,Financials,Banks,3.73,0.20%,43.28%,7.06
