Ticker,Security Name,Sector,Industry,Price,Weight,Return,Contribution
AGCO,AGCO Corporation,Industrials,Machinery,114.24,0.07%,-5.81%,-0.45
PH,Parker-Hannifin Corporation,Industrials,Machinery,419.43,0.07%,38.07%,2.01
MRO,Marathon Oil Corporation,Energy,Oil Gas and Consumable Fuels,25.08,0.07%,-22.26%,-2.09
HLT,Hilton Worldwide Holdings Inc.,Consumer Discretionary,Hotels Restaurants and Leisure,162.67,0.07%,16.03%,1.01
ADSK,Autodesk Inc.,Information Technology,Software,210.10,0.07%,-8.17%,-0.65
JKHY,Jack Henry & Associates Inc.,Financials,Financial Services,150.32,0.07%,-12.75%,-1.06
CF,CF Industries Holdings Inc.,Materials,Chemicals,79.85,0.07%,-20.41%,-1.84
RJF,Raymond James Financial Inc.,Financials,Capital Markets,100.56,0.07%,-17.14%,-1.48
HPE,Hewlett Packard Enterprise Company,Information Technology,Technology Hardware Storage and Peripherals,16.00,0.07%,7.86%,0.52
CASY,Casey's General Stores Inc.,Consumer Staples,Consumer Staples Distribution and Retail,279.12,0.07%,20.62%,1.21
CAH,Cardinal Health Inc.,Health Care,Health Care Providers and Services,104.94,0.07%,42.82%,2.13
SAIA,Saia Inc.,Industrials,Ground Transportation,401.14,0.07%,62.08%,2.70
CLH,Clean Harbors Inc.,Industrials,Commercial Services and Supplies,161.32,0.07%,39.60%,2.00
YUM,Yum! Brands Inc.,Consumer Discretionary,Hotels Restaurants and Leisure,125.31,0.07%,3.50%,0.24
LH,Laboratory Corporation of America Holdings,Health Care,Health Care Providers and Services,204.41,0.07%,-2.89%,-0.21
EME,EMCOR Group Inc.,Industrials,Construction and Engineering,211.50,0.07%,40.82%,2.04
NRG,NRG Energy Inc.,Utilities,Electric Utilities,46.09,0.07%,5.82%,0.39
BLD,TopBuild Corp.,Consumer Discretionary,Household Durables,269.01,0.07%,67.39%,2.83
ANET,Arista Networks Inc.,Information Technology,Communications Equipment,210.28,0.07%,63.58%,2.72
AJG,Arthur J. Gallagher & Co.,Financials,Insurance,247.75,0.07%,34.62%,1.80
OMC,Omnicom Group Inc.,Communication Services,Media,75.71,0.07%,1.00%,0.07
