Ticker,Security Name,Sector,Industry,Price,Weight,Return,Contribution
EBAY,eBay Inc.,Consumer Discretionary,Broadline Retail,38.73,0.28%,-14.87%,-5.51
BRO,Brown & Brown Inc.,Financials,Insurance,73.52,0.27%,30.68%,7.35
CHE,Chemed Corporation,Health Care,Health Care Providers and Services,582.94,0.27%,19.31%,5.01
NVR,NVR Inc.,Consumer Discretionary,Household Durables,6030.44,0.27%,34.27%,7.87
WY,Weyerhaeuser Company,Real Estate,Specialized REITs,29.83,0.27%,-5.17%,-1.68
HST,Host Hotels & Resorts Inc.,Real Estate,Hotel and Resort REITs,16.39,0.26%,-7.31%,-2.38
HRB,H&R Block Inc.,Consumer Discretionary,Diversified Consumer Services,45.18,0.26%,15.32%,3.96
DRI,Darden Restaurants Inc.,Consumer Discretionary,Hotels Restaurants and Leisure,151.25,0.26%,10.80%,2.88
WEC,WEC Energy Group Inc.,Utilities,Multi-Utilities,79.38,0.26%,-11.72%,-3.86
RS,Reliance Steel & Aluminum Co.,Materials,Metals and Mining,267.60,0.25%,40.13%,8.16
CLX,The Clorox Company,Consumer Staples,Household Products,133.78,0.25%,-2.60%,-0.76
NDAQ,Nasdaq Inc.,Financials,Capital Markets,52.09,0.25%,-20.33%,-7.24
EXPE,Expedia Group Inc.,Consumer Discretionary,Hotels Restaurants and Leisure,118.48,0.25%,15.26%,3.73
WRB,W. R. Berkley Corporation,Financials,Insurance,68.78,0.25%,0.68%,0.19
LAMR,Lamar Advertising Company,Real Estate,Specialized REITs,92.07,0.25%,1.52%,0.42
SPG,Simon Property Group Inc.,Real Estate,Retail REITs,115.54,0.24%,2.39%,0.65
EXR,Extra Space Storage Inc.,Real Estate,Specialized REITs,117.58,0.24%,-22.51%,-8.06
LOPE,Grand Canyon Education Inc.,Consumer Discretionary,Diversified Consumer Services,138.01,0.24%,27.36%,5.92
FFIV,F5 Inc.,Information Technology,Communications Equipment,158.62,0.24%,5.81%,1.51
